ID,اسم المشروع,المجال,الوصف,الفئة المستهدفة
1431,عدسة الدواء,السلامة الطبية والصيدلة,يواجه الصيادلة بالمستشفيات خطورة صرف أدوية متشابهة جداً في الشكل الخارجي والعلبة ولكنها مختلفة تماماً في المادة الفعالة والجرعة (Look-Alike). يوفر النظام فحصاً بصرياً ذكياً عند التعبئة للتأكد من الرمز الشريطي والمحتوى.,الصيادلة والمستشفيات والمراكز الطبية
1432,تحليلات النشر,الإعلام الرقمي والثقافة,تفتقر المواقع الثقافية والتعليمية السعودية لأدوات تقيس بدقة مدى ملاءمة صياغة مقالاتها لمستويات القراءة لدى الفئات العمرية المختلفة بالسوق. يقدم المشروع أداة تحليل لغوي تحسب مؤشر صعوبة النص واقترح البدائل.,"دور النشر، كتاب المحتوى، والمؤسسات التعليمية"
1433,بوابة المصانع,سلاسل الإمداد والمشتريات,تواجه المصانع الصغيرة صعوبة في شراء المواد الخام بأسعار تنافسية لقلة كميات طلباتها مقارنة بالمصانع الضخمة والشركات الكبرى. تجمع المنصة طلبات المشتريات للمصانع الصغيرة في صفقة موحدة للحصول على خصومات الكمية.,أصحاب المصانع الصغيرة ومدراء المشتريات والتموين
1434,راصد الأراضي,حماية البيئة والاستدامة,"تعاني الأراضي البيضاء والمخططات الناشئة من الرمي العشوائي لمخلفات البناء والهدم ليلاً، مما يشوه المظهر الحضري ويصعب تعقبه بالبشر بانتظام. يستخدم المشروع كاميرات حرارية متصلة بخوارزمية رصد الشاحنات لتوثيق المخالفات.","الأمانات، البلديات، وهيئات الرقابة البيئية"
1435,تأجير مرن,التشارك الاقتصادي والتقني,يواجه المهندسون والمصممون الهواة صعوبة وتكلفة باهظة في استئجار المعدات النادرة والثقيلة (كماسحات الليزر ثلاثية الأبعاد) لأيام معدودة بأمان وموثوقية. يقدم التطبيق منصة تأجير موثوقة تضمن فحص الهوية وعقود التأمين التلقائية.,"المهندسون، المصممون، وشركات تأجير المعدات"
1436,مسار الركاب,النقل الذكي والمدن,يعاني مستخدمو حافلات النقل العام من الازدحام وصعوبة معرفة عدد المقاعد الشاغرة في الحافلة القادمة للتخطيط لرحلتهم بكفاءة زمنية. يوفر التطبيق تنبؤات حية تعتمد على كاميرات الحافلة الداخلية ومستشعرات الوزن الأرضية.,ركاب حافلات النقل العام وإدارات النقل والبلديات
1437,وزن شاحنتك,اللوجستيات والنقل البري,تواجه الشاحنات غرامات مالية عالية عند نقاط الوزن على الطرق لعدم علم السائق بالحمل الدقيق بعد تحميل البضاعة ميدانياً بالكامل. يوفر المشروع تطبيقاً يربط بحساسات ضغط هيدروليكية بالمركبة لحساب الوزن فورياً قبل الانطلاق.,سائقو الشاحنات وشركات النقل البري وسلاسل الإمداد
1438,تحليلات اللياقة,الرياضة المجتمعية والصحة,تفتقر مجموعات الدراجات الهوائية والجري للهواة لأدوات تجمع بيانات الأعضاء وتحللها لتقديم تحديات جماعية مخصصة ترفع اللياقة البدنية والنشاط. يتيح التطبيق ربط الساعات الذكية للأعضاء وتوليد لوحات صدارة تفاعلية للمجموعات.,مجموعات الهواة وأندية الرياضة والياقة المجتمعية
1439,أمن البيانات,الحوسبة السحابية والسيبراني,تتخوف المنشآت الطبية والمالية من رفع السجلات الصحية الحساسة للسحابة خوفاً من تسريبها أو اختراقها من مزودي الخدمة الخارجيين. يقدم المشروع حلول تشفير متطورة تتيح معالجة البيانات والبحث فيها وهي مشفرة بالكامل بالخادم.,المستشفيات والشركات الناشئة في القطاع الصحي والمالي
1440,فاحص التمور,فرز الأغذية والزراعة الذكية,يستغرق فرز وتصنيف جودة التمور يدوياً في مصانع التعبئة وقتاً طويلاً ومجهوداً بشرياً ضخماً لتلبية الطلب ومعايير التصدير العالمية الحساسة. يعتمد المشروع على رؤية الحاسوب والذكاء الاصطناعي لفرز التمور حسب الحجم واللون والعيوب آلياً.,مصانع تعبئة وتصدير التمور والمزارعون والمستثمرون
1441,كود التطابق,التقنية المالية والتأمين الصحي,تواجه شركات التأمين صعوبة في الكشف عن الفواتير الطبية المكررة أو المتلاعب بها والمقدمة من مستشفيات متعددة لنفس المريض وعلاجه. خوارزمية ذكية تطابق الأكواد الطبية وتاريخ تقديم المطالبات لرصد الشبهات المالية آلياً.,شركات التأمين الصحي والمستشفيات والمراكز الطبية
1442,منصة وتيرة,إدارة المشاريع واللوجستيات,يعاني مديرو المشاريع اللوجستية من تشتت البيانات عند تتبع أداء الشاحنات والمستودعات والموردين عبر منصات رقمية منفصلة ومتباعدة. يوفر المشروع لوحة تحكم موحدة تجمع البيانات الحية وتحللها للتنبؤ بمواعيد التوصيل بدقة.,شركات النقل وسلاسل الإمداد وإدارات العمليات
1443,راصد الفقد,الطاقة والاستدامة البيئية,تواجه المجمعات السكنية الكبرى هدراً غير مرصود في شبكات توزيع الغاز المركزي نتيجة وجود تسريبات ميكروية خفية وعميقة تحت الأرض. يقدم المشروع مستشعرات ضغط حرارية تحلل تدفق الغاز وتحدد مكان الخلل بدقة وأمان.,شركات الغاز وإدارات المجمعات السكنية والعقارية
1444,إسناد العقود,التقنية القانونية وإدارة الأعمال,تستغرق مراجعة وتدقيق عقود الامتياز التجاري (Franchise) وقتاً طويلاً للتأكد من مطابقتها لاشتراطات وحوكمة الهيئة العامة للمنشآت المحدثة. نظام ذكي يطابق بنود العقد بالأنظمة ويبرز أي ثغرات قانونية خطيرة للمستثمر.,"رواد الأعمال، المستثمرون، والقانونيون والمحامون"
1445,منصة أريب,التقنيات التعليمية والذكاء,يواجه المعلمون صعوبة في قياس مدى استيعاب الطلاب للمفاهيم الرياضية والهندسية المعقدة عبر طرائق التعليم التقليدي التلقيني الجاف. منصة تعليم تكيفي تحول المعادلات إلى مجسمات تفاعلية تتغير هندسياً حسب استجابة الطالب.,"المدارس، المعلمون، وطلاب المراحل التعليمية المختلفة"
1446,حصاد المياه,الاستدامة والأمن المائي,تعاني المجمعات الصناعية من هدر مياه التبريد الناتجة عن المولدات والآلات الضخمة وصعوبة إعادة تدويرها آلياً بناءً على مستوى نقائها اللحظي. صمامات رقمية ذكية تفحص نقاء المياه برمجياً وتوجهها لإعادة الاستخدام في المرافق.,المصانع والمنشآت الصناعية الكبرى وإدارات البيئة
1447,مرشد الميناء,اللوجستيات والنقل البحري,تواجه السفن التجارية فترات انتظار طويلة بالمرافئ لعدم التنسيق الدقيق بين موعد وصول السفينة وجاهزية رافعات الحاويات وسائقين الشحن بالميناء. يقدم المشروع نظام جدولة ديناميكي يتنبأ بأوقات التفريغ بناءً على البيانات الحية.,إدارات الموانئ والشركات الملاحية وسلاسل الإمداد
1448,تحليلات المناحل,الثروة الزراعية والتموين,يصعب على مربي النحل تحديد المواقع الجغرافية المثالية لنقل الخلايا والمناحل حسب مواسم تفتح الأزهار وتوفر الغطاء النباتي الطبيعي محلياً. يحلل التطبيق صور الأقمار الصناعية وبيانات الطقس لاقتراح أماكن الإنتاج الأعلى للعسل.,النحالون ومربو النحل المحليون ومنتجو الأغذية العضوية
1449,بناء واثق,قطاع المقاولات والإنشاءات,تقع خلافات هندسية ومالية بين المقاولين والملاك حول دقة نسب الإنجاز الفعلي للمباني قبل صرف الدفعات المالية لغياب التوثيق المحايد. يوفر التطبيق ميزة المسح بالليزر (LiDAR) عبر الجوال لمطابقة البناء الفعلي بالمخطط الهندسي.,"الملاك، المقاولون، والمكاتب الاستشارية والهندسة"
1450,عقاري الآمن,التقنية العقارية والعمليات,يواجه المستأجرون الجدد مخاوف من التعرض للاحتيال المالي عبر دفع عربون لعقارات وهمية أو غير مصرحة في وسائل التواصل الاجتماعي التقليدية. توفر المنصة نظام حجز وسيطاً يربط الهوية الرقمية للمؤجر بالصك الفعلي المعتمد للعقار.,المستأجرون والوسطاء العقاريون والملاك والتجار
1451,راصد الفتوق,القطاع الصناعي والطاقة,تواجه خزانات الضغط العالي في مصانع الغاز خطورة حدوث تشققات ميكروية غير مرئية نتيجة الإجهاد الحراري المستمر. يستخدم المشروع تقنية التصوير بالانبعاث الصوتي (Acoustic Emission) لرصد تصدع الهياكل لحظياً.,مصانع الغاز والنفط ومهندسو السلامة
1452,منصة إرشاد,السياحة البيئية والمغامرات,يواجه محبو استكشاف الكهوف والمغارات الجبلية خطورة نقص الأكسجين أو الضياع لغياب التغطية اللاسلكية. يقدم المشروع أجهزة بث محلية منخفضة الطاقة (LoRa) ترسم مسار المغامرة وتتبع المؤشرات الحيوية للفريق.,هواة تسلق الجبال وسياح المغامرات
1453,بوابة اللوجستي,اللوجستيات وسلاسل الإمداد,تواجه شركات الشحن الدولي تعقيدات في الفرز الآلي وتصنيف شهادات المطابقة الكيميائية للمواد الخام الواردة عبر الموانئ. منصة تعتمد على الذكاء الاصطناعي اللغوي لمطابقة الشهادات بالمواصفات السعودية.,شركات الاستيراد والتصدير والمخلصون
1454,تفتيش التعبئة,سلامة وجودة الأغذية,تعاني مصانع تعبئة العصائر من هدر دفعات إنتاج كاملة بسبب عدم الإغلاق المحكم للأغطية (عيوب السدادات) دون رصد فوري. نظام فحص بصري ذكي ثلاثي الأبعاد (3D Vision) يكتشف ميل الأغطية على خط الإنتاج.,مصانع المشروبات والأغذية وإدارات الجودة
1455,منصة وتيرة,التقنية القانونية (LegalTech),تستغرق صياغة ومراجعة اتفاقيات التوزيع الحصري بين المصانع والوكلاء التجاريين وقتاً طويلاً لضمان توافقها مع نظام الامتياز التجاري المحدث. منصة تولد وتدقق العقود آلياً بناءً على قطاع العمل.,"رواد الأعمال، المصانع، والمستشارون القانونيون"
1456,توجيه الإضاءة,المدن الذكية وكفاءة الطاقة,تستهلك الواجهات المضيئة للأبراج والمباني التجارية طاقة هائلة لعملها بكثافة ثابتة طوال الليل بغض النظر عن ضوء القمر أو حركة المارة. نظام تحكم يضبط شدة الإضاءة ديناميكياً بناءً على حساسات الطقس.,إدارة الأبراج والمجمعات التجارية والبلديات
1457,توطين الأصول,الثقافة والاقتصاد الإبداعي,يواجه مطورو المحتوى المرئي صعوبة في العثور على مؤثرات صوتية وبيئية رقمية تحاكي الطبيعة الصوتية للمناطق السعودية (كالرياح الصحراوية أو أهازيج البحر). مكتبة صوتية رقمية ذكية للأصول الصوتية الموثقة.,صناع الأفلام ومطورو الألعاب والمسوقون
1458,راصد النقاء,البيئة والاستدامة المائية,تواجه مزارع الروبيان الساحلية خطورة نفوق الإنتاج نتيجة التغير الفجائي في مستويات الملوحة أو تركز الأمونيا بالمياه. منظومة عوامات ذكية تقيس الخصائص الكيميائية للمياه وتبث المؤشرات بلحظتها للمزارع.,مشاريع الاستزراع المائي ومزارعو الروبيان
1459,بصمة المعدن,قطاع التعدين والاستثمار,"يواجه مستثمرو المعادن الثمينة صعوبة في التحقق الفوري من جودة ونقاء خام ""السيليكا"" المستخرج محلياً قبل نقله لمصانع الزجاج. جهاز فحص محمول يعتمد على التحليل الطيفي الفلوري للكشف عن النسبة بالميدان.","شركات التنقيب، الجيولوجيون، ومصانع الزجاج"
1460,عالمي الحركي,الرعاية التأهيلية والصحة,يواجه الأطفال المصابون بالشلل الدماغي الحركي صعوبة في الالتزام بجلسات العلاج الطبيعي المنزلي لضعف المحفزات البصرية وتكلفة الأجهزة. تطبيق يحول التمارين الحركية لألعاب واقع معزز (AR) تقيس المدى الحركي.,الأطفال ذوو الإعاقة الحركية ومراكز التأهيل
1461,فاحص العزل,كفاءة الطاقة والعمارة,تقع عيوب في جودة تنفيذ العزل الحراري للمباني تحت الإنشاء لا تكتشف إلا بعد السكن وارتفاع فاتورة الكهرباء. تطبيق يستخدم التصوير الحراري عبر الهاتف ومطابقته بكود البناء السعودي لرصد الفراغات بالعزل.,المقبلون على بناء المنازل والمهندسون المشرفون
1462,إسناد الإغاثة,العمل الإنساني والإغاثي,تواجه الجمعيات الخيرية صعوبة في التوزيع اللوجستي العادل للمساعدات العينية (كالأجهزة الكهربائية) بناءً على الاحتياج الفعلي والنمو الأسري. منصة تحلل البيانات الديموغرافية والاجتماعية لتوجيه الدعم.,الجمعيات الأهلية والمؤسسات الإنسانية والمانحون
1463,أمان الحاوية,اللوجستيات والشحن المبرد,تتأثر جودة الشحنات الدوائية الحساسة (كاللقاحات) بالاهتزازات والارتجاجات القوية الناتجة عن الطرق الوعرة أثناء النقل البري. حافظة ذكية مدمجة بحساسات تسارع دقيقة تسجل الصدمات على سجل مشفر بالبلوكشين.,شركات الأدوية والمستشفيات والموزعون اللوجستيون
1464,إيجاز المعاملة,تقنيات الشركات والحوكمة,يستغرق الموظفون وقتاً طويلاً في قراءة مئات بريد المعاملات الإدارية اليومية الطويلة لاستخراج الطلبات والتكليفات المحورية. أداة تعتمد على الذكاء الاصطناعي تلخص البريد وتولد قائمة مهام تنفيذية تلقائياً.,المدراء التنفيذيون وموظفو الشركات والمنشآت
1465,منصة تدوير,الاستدامة والاقتصاد الدائري,تواجه مصانع تدوير الأثاث الخشبي صعوبة في الجمع اللوجستي للمخلفات الخشبية الكبيرة من المنازل والمجمعات السكنية يدوياً. منصة تربط الأفراد بشركات التدوير وتنظم مسارات الشاحنات حسب الطلب.,"الأسر، شركات التدوير، والمنشآت البيئية"
1466,تحكيم المطالبات,تقنيات التأمين (InsurTech),تقع نزاعات بين شركات التأمين والمؤمن لهم حول القيمة العادلة لتعويض الهواتف الذكية التالفة نتيجة الحوادث لغياب الفحص التقني المحايد. تطبيق يحلل الأعطال الداخلية للهاتف برمجياً لتقدير تكلفة الإصلاح.,شركات تأمين الأجهزة ومحلات الصيانة والمستهلكون
1467,مسار الرؤية,دعم ذوي الإعاقة البصرية,يواجه المكفوفون صعوبة في معرفة مواعيد وأرقام حافلات النقل العام عند وقوفهم في المحطات لغياب اللوحات الصوتية. تطبيق يربط هاتف المستخدم بالحافلة القادمة عبر موجات البلوتوث لتنبيهه صوتياً برقم الرحلة.,المكفوفون وضعاف البصر وركاب النقل العام
1468,سوق الصوف,الثروة الحيوانية والاقتصاد الريفي,"يواجه مربو الماشية صعوبة في تسويق وبيع صوف الأغنام بعد موسم الجز، مما يسبب هدر المواد أو رميها. منصة تربط المربين بمصانع السجاد والمنسوجات المحلية لتسهيل البيع والجمع اللوجستي المنظم.",مربو الأنعام ومصانع المنسوجات والسجاد المحلي
1469,بوابة الفسح,الجمارك واللوجستيات الدولية,تستغرق مراجعة وتدقيق المستندات الجمركية للمواد الطبية والمخبرية المستوردة وقتاً طويلاً لتعدد المسميات العلمية المعقدة. منصة تعتمد على معالجة اللغات الطبيعية لتصنيف وترجمة البنود جمركياً فوراً.,شركات الاستيراد والتصدير والمخلصون الجمركيون
1470,حماية المحصول,الزراعة الذكية والمحميات,"تتعرض بيوت زراعة الخيار لانتشار مرض ""البياض الدقيقي"" الفطري بسرعة فائقة قبل ظهور الأعراض البصرية على كامل الأوراق. نظام يستخدم مستشعرات رطوبة الأوراق مع رؤية الحاسوب لاكتشاف البؤر الأولى.",المزارعون ومستثمرو مشاريع الزراعة الحديثة
1471,مرصد المياه,المدن الذكية والاستدامة,تواجه البلديات صعوبة في رصد مواقع انكسار أنابيب المياه العذبة بالشبكات الفرعية للأحياء بشكل سريع قبل غرق الشوارع. نظام يحلل الهبوط المفاجئ في الضغط عبر حساسات موزعة لتحديد موقع الكسر الجغرافي.,شركة المياه الوطنية والبلديات والأمانات
1472,نبض الشحنة,اللوجستيات الحساسة والأمن,تتعرض شحنات اللوحات الفنية والأصول الثمينة المنقولة بين المتاحف لخطر السرقة أو استبدالها بقطع مقلدة دون رصد لحظي. وسم رقمي ذكي مشفر بالبلوكشين يقيس البصمة الموجية للقطعة ويطلق إنذاراً عند التلاعب.,"المتاحف، المعارض الفنية، وشركات التأمين"
1473,بوابة المقاصة,التقنية المالية والشركات,تواجه المنشآت الصغيرة تعقيدات وتأخيراً في تسوية المبالغ والديون المتبادلة بينها وبين الشركات الأخرى يدوياً (التقاص المالي). منصة رقمية تؤتمت عمليات التقاص والمطابقة المالية آلياً لتوفير السيولة.,الشركات الصغيرة والمتوسطة والمحاسبون
1474,تفتيش التوربين,الطاقة النظيفة والصيانة,تعاني محطات توليد الطاقة الكهرومائية من تآكل الشفرات الداخلية بفعل الدوامات المائية دون رصد استباقي كافٍ قبل تعطل التوليد. يستخدم النظام الفحص الحراري بالليزر للكشف عن الإجهاد الإنشائي للشفرات.,مشغلو محطات الطاقة المتجددة والمهندسون
1475,منصة أريب,تقنيات حوكمة التعليم,تواجه المدارس الأهلية صعوبة في التقييم التلقائي لمدى التزام المعلمين بالخطة الزمنية المعتمدة للمناهج الدراسية وسط الفصول المتعددة. نظام ذكي يحلل عناوين الدروس المسجلة ويطابقها بجدول الوزارة آلياً.,إدارات المدارس الأهلية والمشرفون التربويون
1476,حصاد الضوضاء,الاستدامة وطاقة المستقبل,تفرز الآلات الضخمة في المنشآت الصناعية مستويات تفوق ديسبل الأمان من الضوضاء المستمرة التي تذهب هدراً وتسبب احتراقاً سمعياً للعمال. يقدم المشروع صفائح بيزوإلكترونية تحول الموجات الصوتية لطاقة.,المصانع والمنشآت الصناعية الكبرى
1477,مرشد الطوافة,تقنيات الحج والعمرة واللوجستيات,يواجه زوار الحرمين من كبار السن صعوبة في العثور على المسارات المخصصة لكراسي التنقل الكهربائية داخل الأدوار المتعددة لشدة الازدحام. تطبيق يتيح نظام ملاحة داخلي يعتمد على خرائط حية مخصصة للكراسي.,الحجاج والمعتمرون وإدارات تشغيل المسعى
1478,تحليلات الأنسجة,الرعاية الصحية والتقنية الطبية,يستغرق أطباء علم الأمراض (Pathology) وقتاً طويلاً في فرز وتصنيف مئات الخزعات النسيجية يدوياً للكشف عن بؤر الخلايا السرطانية. يوفر النظام مساعداً ذكياً يحلل الصور المجهرية ويبرز الخلايا المشبوهة فوراً.,"أطباء علم الأمراض، المختبرات، والمستشفيات"
1479,بناء واثق,قطاع المقاولات والإنشاءات,"تقع أخطاء في فحص استواء جدران المصاعد (Shafts) في الأبراج الشاهقة قبل تركيب المصعد، مما يسبب تعطلاً ميكانيكياً لاحقاً. تطبيق يحلل المسح العمودي بالليزر لمطابقة جدار المصعد بالمخطط الهندسي بدقة.","شركات المقاولات، المكاتب الاستشارية، ومهندسو الموقع"
1480,عقاري الآمن,التقنية العقارية والحوكمة,يواجه الملاك صعوبة في التحقق من صحة المستندات والتراخيص المهنية للشركات المشغلة والمستأجرة للمرافق التجارية الكبرى قبل توقيع العقد. منصة تؤتمت الفحص والمطابقة الرقمية مع السجلات الرسمية الفورية.,"الملاك، المستثمرون العقاريون، والوسطاء"
1481,نقاء التمور,سلامة الأغذية والزراعة الذكية,يواجه مصدرو التمور خطورة رفض الشحنات عالمياً بسبب الاحتواء غير المرصود على بيوض الحشرات المخفية داخل ثمار التمور الفاخرة المعبأة. جهاز فحص نبضي يعتمد على التصوير الطيفي الحراري للكشف آلياً دون إتلاف الثمرة.,مصانع تعبئة التمور والمزارعون والمصدرون
1482,نبيه الحركة,دعم ذوي الإعاقة الحركية,يواجه مستخدمو الأطراف الصناعية الذكية صعوبة في ضبط حساسية وسرعة استجابة الطرف لتناسب اختلاف تضاريس الطرق (كالمشي على الرمل أو العشب). تطبيق يحلل نمط المشي ويعيد معايرة الطرف الصناعي تلقائياً.,مستخدمو الأطراف الصناعية وأطباء التأهيل
1483,تواصل ناطق,دعم ذوي الإعاقة السمعية والدمج,يواجه الصم وضعاف السمع صعوبة في فهم المعاملات المرئية ومقاطع الفيديو التدريبية داخل المنشآت لغياب الترجمة النصية التلقائية المضبوطة لغوياً بالعامية. برمجية تحول الصوت لنص مكتوب يراعي سياق اللهجة السعودية.,الصم وضعاف السمع والمؤسسات والشركات
1484,إمداد مرن,إدارة المخازن والتجارة الإلكترونية,تعاني المتاجر الإلكترونية الكبرى من صعوبة الجرد والتوزيع التلقائي للمنتجات ذات الطلب العالي بين مستودعات المدن المختلفة لغياب التنبؤ الجغرافي. نظام يحلل تريندات الشراء الإقليمية لأتمتة إعادة توجيه الشحنات.,مدراء المستودعات وسلاسل الإمداد بالتجارة
1485,منصة صكوك,التقنية المالية والاستثمار الجماعي,يصعب على صغار المستثمرين المشاركة في تمويل المشاريع اللوجستية وتطوير أساطيل النقل الثقيل لارتفاع الحد الأدنى للتكلفة. تقدم المنصة نموذج تمويل جماعي مقسم الأصول لحصص رقمية متناهية الصغر بأسعار ميسرة.,صغار المستثمرين ورواد الأعمال اللوجستيين
1486,راصد الامتثال,الاقتصاد الرقمي والرقابة,"تواجه الجهات الرقابية صعوبة في الرصد التلقائي والمستمر لالتزام المنصات العقارية بوضع ""رقم ترخيص الإعلان المعتمد"" ومنع العروض الوهمية. نظام كشط مبرمج يطابق بيانات الإعلان بسجلات الهيئة العامة للعقار فوراً.",الهيئة العامة للعقار والجهات الرقابية والمستهلكون
1487,ميزان الشحن,اللوجستيات الذكية والنقل البري,تعاني شركات شحن الطرود من هدر مساحات الشحن داخل مقطورات النقل الثقيل بسبب سوء توزيع الصناديق عشوائياً من العمال. يوفر التطبيق محاكاة ثلاثية الأبعاد تقترح الترتيب الهندسي الأمثل لرفع استيعاب الشاحنة.,شركات الشحن والخدمات اللوجستية وسلاسل الإمداد
1488,عين المحمية,حماية البيئة والاستدامة,تتعرض الأراضي الرطبة والمستنقعات بالمحميات الطبيعية للتلوث بالنفايات البلاستيكية الميكروية الضارة بالطيور المهاجرة دون رصد سريع. يستخدم المشروع طائرات مسيرة لالتقاط صور طيفية عالية الدقة وتصنيف الملوثات آلياً.,القوات الخاصة للأمن البيئي وإدارات المحميات
1489,أرشيف ذكي,تقنيات الشركات والعمليات,تستغرق مراجعة وتصنيف ملفات الفواتير والمستندات الجمركية القديمة الممسوحة ضوئياً ساعات طوال للتحقق ومطابقة الرسوم الضريبية السنوية. يوفر النظام نموذجاً ذكياً يقوم بالتعرف الضوئي (OCR) وفرز البيانات.,المحاسبون والمراجعون وإدارات العمليات بالشركات
1490,رحلة العينة,الرعاية الصحية واللوجستيات,تفتقر المستشفيات لأدوات تضمن سلامة عينات الحمض النووي (DNA) الحساسة أثناء شحنها للمختبرات المركزية نتيجة تأثرها بالارتفاع اللحظي للحرارة. حافظة ذكية متصلة بالأقمار الصناعية تبث المؤشرات طوال الرحلة.,"المختبرات الطبية، بنوك الجينات، والمستشفيات"
1491,تذاكر آمنة,الفعاليات والترفيه والمؤتمرات,يواجه منظمو المؤتمرات الطبية الكبرى خطر دخول أشخاص بهويات مستعارة لغياب التحقق اللحظي السريع من الموثوقية المهنية المعتمدة. نظام يربط التذكرة الرقمية بالهوية المهنية (ممارس بلس) عبر سجل مشفر بالبلوكشين.,منظمو المؤتمرات الأكاديمية والوفود المهنية
1492,مستشار العزل,كفاءة الطاقة والعمارة المستدامة,يواجه المقبلون على بناء المستودعات صعوبة في تحديد نوع العوازل الأنسب للحوائط الخرسانية مسبقة الصنع لخفض أحمال التبريد وتطابق معايير الكود. يقدم التطبيق محرك محاكاة حرارية يحلل مساحة المبنى والطقس.,أصحاب المستودعات والمقبلون على البناء والمهندسون
1493,عدسة الأسنان,تقنيات طب الأسنان والصحة,يواجه أطباء وجراحو الوجه والفكين صعوبة في التحديد الدقيق لمسار العصب السفلي قبل عمليات خلع ضرس العقل المطمور عبر الأشعة البسيطة. يقدم النظام حلاً يعتمد على الذكاء الاصطناعي لتلوين وتحديد مسار العصب ثلاثي الأبعاد.,أطباء وجراحو الأسنان والمراكز الطبية
1494,إدارة الاهتزاز,التصنيع الذكي والصيانة التنبؤية,تعاني مضخات المياه الضخمة بمحطات المعالجة من التوقف المفاجئ نتيجة اختلال توازن عمود الدوران بسبب الترسبات الكيميائية غير المرصودة. يربط المشروع المضخة بحساسات اهتزاز للتنبؤ بالصيانة قبل تعطل التدفق.,محطات المياه ومهندسو الصيانة والتشغيل
1495,خطوط التراث,الثقافة والفنون الرقمية,تفتقر أدوات التصميم المعاصرة لنماذج تولد خطوطاً وتراكيب فنية مضبوطة بدقة تحاكي قواعد الخط المغربي أو الأندلسي الأصيل بأبعاده الهندسية. يقدم المشروع نموذج ذكاء اصطناعي توليدي مخصص لابتكار لوحات موزونة.,"المصممون، دور النشر، والجهات الثقافية"
1496,محاكي الرواسب,التعدين والطاقة والجيولوجيا,"تواجه شركات الاستكشاف التعديني مخاطر مالية عالية عند حفر آبار عشوائية للبحث عن رواسب ""النحاس"" دون دراسة طبقات الأرض بدقة جيوفيزيائية. يقدم المشروع منصة محاكاة ثلاثية الأبعاد تحلل بيانات المسح الكهرومغناطيسي.",شركات التعدين والمهندسون الجيولوجيون والباحثون
1497,تأهيل مرن,الخدمات الاجتماعية والإصلاحية,تواجه المؤسسات الرعوية صعوبة في التقييم السلوكي والمهني الدوري للنزلاء داخل دور الرعاية لقياس مدى جاهزيتهم للاندماج بسوق العمل بشكل مستدام. توفر المنصة مسارات تعليمية وتقييمية ذكية تقيس التطور المهني.,إدارات التأهيل والمؤسسات الاجتماعية ودور الرعاية
1498,راصد السيول,إدارة الأرصاد والمدن الذكية,تفتقر بلديات المدن الفرعية لبيانات مناخية شديدة المحلية (Hyper-local) لرصد وتوقع تدفق مياه السيول في أحياء محددة قبل وصولها للمناطق السكنية. يدمج المشروع قراءات محطات الأرصاد المنزلية الصغيرة المصرحة.,مراكز الأرصاد والبلديات والأمانات
1499,مسار الطوارئ,إدارة المستشفيات والعمليات,يعاني الكادر الطبي في المستشفيات الكبيرة من ضياع أوقات حاسمة في البحث عن الكراسي المتحركة أو أجهزة تخطيط القلب الشاغرة والقريبة لعدم جردها اللحظي. نظام تتبع داخلي يربط الأجهزة بأوسمة (BLE) لتحديد موقعها.,"الممرضون، الأطباء، وإدارات تشغيل المستشفيات"
1501,بوابة الجينوم,التقنية الحيوية (BioTech),يواجه الباحثون في علم الجينات صعوبة في الفرز اليدوي لآلاف الطفرات الوراثية النباتية المقاومة للجفاف في البيئات الصحراوية. منصة تحلل التسلسل الجيني للنباتات المحلية (كالسمر والغضا) لتسريع أبحاث التشجير.,مراكز الأبحاث الزراعية وهيئات تطوير الغطاء النباتي
1502,حصاد الميثان,الاستدامة والطاقة المتجددة,تفرز محطات معالجة النفايات الصلبة غاز الميثان بشكل عشوائي في الهواء مما يلوث البيئة ويضيع فرصة استغلاله كوقود. نظام يربط المكابب بمستشعرات ضغط دقيقة تسحب الغاز آلياً فور تركزه لتوليد الكهرباء.,شركات إدارة النفايات والمصانع البيئية
1503,رادار التزييف,الإعلام الرقمي والأمن السيبراني,يجد منظمو المؤتمرات الصحفية والشركات صعوبة في التحقق الفوري من موثوقية مقاطع الفيديو المنشورة لمتحدثيها الرسميين ضد التزييف العميق (Deepfakes). أداة تفحص الترددات الموجية وحركة العضلات بالوجه لكشف التزييف.,"القنوات الإخبارية، العلاقات العامة بالشركات، والجهات الأمنية"
1504,مرشد التردد,تقنيات الاتصالات والدرونز,تواجه طائرات الدرونز المخصصة للتوصيل السريع خطر فقدان الاتصال أو التشويش على تردداتها اللاسلكية وسط الأبراج الشاهقة بالمدن الذكية. نظام ديناميكي يوزع النطاقات الترددية ويوجه الطائرة للمسار الأقل تشويشاً.,شركات اللوجستيات الجوية وهيئات الاتصالات
1505,منصة أريب,تقنيات حوكمة الشركات,تعاني الشركات المساهمة من البطء والتكلفة العالية في مراجعة وتدقيق سجلات تعارض المصالح (Conflict of Interest) لأعضاء مجلس الإدارة يدوياً قبل إقرار الصفقات. خوارزمية ذكية تطابق الملكيات والروابط التجارية آلياً.,إدارات الالتزام والحوكمة بالشركات الكبرى
